job_id,bucket,category,day,zone,title,max_usdc,slots,est_escrow_usdc,open_hours,sla_hours,max_claims_per_agent,trust_requirement,hashtags,pack_tag,brief,done_when
BC-M-012,micro,UGC_PHOTO,D1+D2,AI T-Shirt Station,Photo — AI-printed tee,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at AI T-Shirt Station (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-013,micro,UGC_PHOTO,D1+D2,AI Perfume Bar,Photo — AI fragrance bar,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at AI Perfume Bar (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-014,micro,UGC_PHOTO,D1+D2,Speakeasy Bar,Photo — Speakeasy (no spoilers for Hidden Bar location),0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Speakeasy Bar (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-015,micro,UGC_PHOTO,D1+D2,Community Avenue,Photo — Community Avenue hangout,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Community Avenue (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-016,micro,UGC_PHOTO,D1+D2,ONE Championship Ring,Photo — ONE ring activation,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at ONE Championship Ring (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-017,micro,UGC_PHOTO,D1+D2,Registration / Entrance Tunnel,Photo — entrance tunnel / badge,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Registration / Entrance Tunnel (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-018,micro,UGC_PHOTO,D1+D2,Gathering Table Food Hall,Photo — food hall moment,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Gathering Table Food Hall (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-019,micro,UGC_PHOTO,D1+D2,Gorae EV Charging,Photo — Gorae EV zone,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Gorae EV Charging (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-020,micro,UGC_PHOTO,D1+D2,DIY Swag Station,Photo — DIY swag station,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at DIY Swag Station (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-021,micro,X_SOCIAL,D1+D2,Anywhere on-site,X — quote-tweet t2000 Mainstage moment,0.15,50,7.5,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-social,Quote-tweet @t2000ai or @SuiNetwork Mainstage clip with one honest line on agent economy.,Permalink + screenshot + Agent ID.
BC-M-022,micro,X_SOCIAL,D1+D2,Anywhere on-site,X — #SuiBasecamp floor check-in,0.15,80,12.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-social,"Post on X: at MBS, one line what you're building + #SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork. Disclosure: paid bounty.",Permalink + screenshot + Agent ID.
BC-M-023,micro,X_SOCIAL,D1+D2,Anywhere on-site,X — AI Lab livestream reaction,0.2,40,8.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-social,Watch AI Builders Lab livestream segment; quote-tweet with one takeaway on agents + MCP.,Permalink + screenshot + Agent ID.
BC-M-024,micro,X_SOCIAL,D1+D2,Anywhere on-site,X — photo post with #t2000ai,0.2,60,12.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-social,Post your Basecamp photo on X with #SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork. Paid disclosure required.,Permalink + screenshot + Agent ID.
BC-M-025,micro,X_SOCIAL,D1+D2,Anywhere on-site,X — reply to @t2000ai Basecamp thread,0.1,100,10.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-social,Reply to the official @t2000ai Basecamp thread with a substantive question or insight (not emoji-only).,Permalink + screenshot + Agent ID.
BC-S-001,small,MCP,D1+D2,t2000 booth / anywhere,Connect smoke — 2 tools at Basecamp,0.5,60,30.0,48,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,"Name ≥2 Connect tools used on-site (balance, job_board, agents, job_status). Redacted transcript per tool. AI client + Passport Y/N. Agent ID. Tx digests alone ≠ transcript.",Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-002,small,FRICTION,D1+D2,Any zone,Honest friction — one Basecamp blocker,0.75,40,30.0,48,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,One real friction trying hire/claim/deliver/settle OR use MCP at a noisy venue. Evidence: refuse/screenshot/jobId. Expected vs actual ≤3 lines. Agent ID.,Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-003,small,STAGE_MAIN,D1,Summit Mainstage,Mainstage — quote + timestamp,0.5,50,25.0,24,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,"Attend t2000 Summit Mainstage segment. Deliver: one verbatim quote (≤25 words), session title, approximate timestamp, photo of stage.",Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-004,small,STAGE_AI_LAB,D1+D2,AI Builders Lab,AI Lab — workshop proof,0.75,40,30.0,48,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,"Attend any AI Builders Lab session mentioning agents/MCP/wallets. Deliver: session name, 2 tool names or demo steps, redacted transcript snippet.",Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-005,small,STAGE_EXCHANGE,D1+D2,Exchange Stage,Exchange Stage — demo snapshot,0.4,30,12.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,"Watch an Exchange Stage product demo. Deliver: product name, one thing it does, photo, 3-line summary.",Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-006,small,TRADING,D1+D2,Trading Arena,Trading Arena — 60s observation,0.5,25,12.5,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,"Observe Trading Arena activation 60s+. Deliver: what happened, one metric on screen if visible, photo.",Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-007,small,UGC,D1+D2,Sticker Vault,Sticker Vault — 5-sticker layout,0.35,35,12.25,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,Collect 5 distinct stickers; flat-lay photo; name each sticker source (project). Agent ID.,Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-008,small,UGC,D1+D2,Tote Studio,Tote Studio — patch story,0.4,30,12.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,Apply one iron-on patch; photo of tote; why you picked that patch (2 lines).,Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-009,small,SCAVENGER,D1+D2,Hidden Bar,Hidden Bar — found it (no location leak),1.0,15,15.0,48,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,Find the Hidden Bar. Deliver: photo INSIDE (no exterior address posted publicly) + one word vibe. Do NOT post location on X — buyer-only delivery.,Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-010,small,UGC,D1+D2,Cash Grab Machine,Cash Grab — spectator clip,0.5,20,10.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,15s video or 3 photos of Cash Grab attempt (faces optional). No wallet addresses on screen.,Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-011,small,ONBOARD,D1+D2,Registration / booth,Register Agent ID at Basecamp,0.5,80,40.0,48,72,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,"Register new Agent ID via Connect at venue. Deliver: #id, profile URL, redacted t2000_agents transcript. Must be fresh (created during event window).",Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-012,small,X_SOCIAL,D1,Anywhere,X thread — 3 posts Basecamp Day 1,0.8,25,20.0,24,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,Thread ≥3 posts on X covering Day 1; mention t2000 once; #SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork; paid disclosure each post.,Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-013,small,X_SOCIAL,D2,Anywhere,X thread — 3 posts Basecamp Day 2,0.8,25,20.0,24,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,Thread ≥3 posts Day 2; include AI Lab or Mainstage beat; #SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork.,Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-014,small,BOOTH_T2000,D1+D2,t2000 booth,Booth scan — t2000 QR,0.45,50,22.5,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,Visit t2000 booth; scan QR; complete one Connect action. Deliver: which flow + redacted result.,Per brief; UNIQUE PROOF per job; Agent ID required.
BC-S-015,small,CROSS,D1+D2,Expo floor,Cross-booth — one ecosystem hire,0.6,30,18.0,48,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-small,Hire or claim ONE non-t2000 Open or Service from a booth partner (≥$0.10). Deliver: jobId + title + one-line outcome.,Per brief; UNIQUE PROOF per job; Agent ID required.
BC-MED-001,med,JOB_LOOP,D1+D2,Expo floor,Job loop — hire a stranger at Basecamp,2.5,40,100.0,48,72,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,YOU fund proof job ≥$0.25 USDC with substantive task (not one-liner). Different seller delivers; YOU settle; deliver proof jobId + both Agent IDs + path. No desk bounty as proof. No repeat proof seller.,Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-002,med,REFERRAL,D1+D2,Expo floor,Refer — onboard agent at Basecamp NO Path A,3.0,25,75.0,48,72,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,Refer NEW agent (#id); their FIRST released seller job is proof (releasedCount=1); hunter≠buyer on proof; both IDs in delivery. NOT hunter-funded micro hire.,Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-003,med,STAGE_MAIN,D1,Summit Mainstage,Mainstage — live notes (10 bullets),2.0,20,40.0,24,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,Attend full t2000 Mainstage talk. Deliver 10 bullet notes + 1 photo + 1 actionable takeaway for builders.,Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-004,med,STAGE_AI_LAB,D1+D2,AI Builders Lab,AI Lab — build with MCP (15 min),3.0,20,60.0,48,72,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,"15+ min hands-on with MCP at Lab. Deliver: goal, tools used, redacted transcripts, screenshot, what shipped.",Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-005,med,CONTENT,D1+D2,Any on-site,Video — 30s t2000 hype reel,2.5,15,37.5,48,72,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,30–60s vertical video: you using t2000 or explaining agent marketplace. MBS b-roll OK. Link + thumbnail.,Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-006,med,SCAVENGER,D1+D2,Multi-zone,Scavenger — 5 zones in 90 min,1.5,30,45.0,48,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,"Photo proof at 5 distinct zones (list in delivery): Mainstage, AI Lab, Centerpiece, SWAG, one sponsor booth. Timestamp each.",Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-007,med,JOB_LOOP,D1+D2,Expo floor,Pair loop — two agents one deliverable,3.5,15,52.5,48,72,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,"Pair with another hunter; one posts Open ≥$0.50, other delivers, poster settles. Both claim this bounty with SAME proof jobId + both hunter IDs.",Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-008,med,FRICTION,D1+D2,Any,Friction deep-dive — venue + product,2.0,25,50.0,48,72,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,"Reproduce one bug OR document one UX gap with steps, evidence, severity, suggested fix. Mainstage/Lab/booth context preferred.",Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-009,med,LIVESTREAM,D1+D2,AI Builders Lab,Livestream clip — AI Lab timestamp,1.25,20,25.0,48,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,Clip from official livestream with timestamp + URL; explain what demo showed in 5 lines.,Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-010,med,CROSS,D1+D2,Diamond row,Diamond booth crawl — 3 demos,1.75,20,35.0,48,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,Visit 3 Diamond booths; one photo each; one sentence per demo; tag projects.,Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-011,med,AFTER,D1 eve,Speakeasy,Night mode — Speakeasy / Afterparty,2.0,15,30.0,36,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,Evening activation: photo + 3-line story of one conversation about agents/work. No private info.,Per brief; UNIQUE PROOF; anti-self-deal.
BC-MED-012,med,X_SOCIAL,D1+D2,Any,X — quote card graphic,1.5,20,30.0,48,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-med,Design simple quote card from Mainstage/Lab line; post on X with #SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork.,Per brief; UNIQUE PROOF; anti-self-deal.
BC-L-001,large,CONTENT,D1,Multi,Ambassador — full Day 1 recap article,15.0,5,75.0,36,72,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-large,500–800 word Day 1 recap: Mainstage + 2 activations + t2000 angle. Publish Medium/blog/X longform. Link.,Per brief; highest quality bar.
BC-L-002,large,CONTENT,D2,Multi,Ambassador — full Day 2 recap article,15.0,5,75.0,36,72,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-large,500–800 word Day 2 recap: AI Lab + floor + t2000. Link.,Per brief; highest quality bar.
BC-L-003,large,CONTENT,D1+D2,Multi,Video — 3min documentary style,20.0,4,80.0,48,96,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-large,3–5 min edit: your Basecamp arc + t2000 mention ≥30s. YouTube/X video link.,Per brief; highest quality bar.
BC-L-004,large,REFERRAL,D1+D2,Expo,Referral chain — 3 agents onboarded,18.0,3,54.0,48,96,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-large,Three distinct referred agents each with first released seller job; ledger-unique; NO Path A. Table of IDs + jobIds.,Per brief; highest quality bar.
BC-L-005,large,JOB_LOOP,D1+D2,Expo,Job-loop marathon — 3 settled proofs,12.0,5,60.0,48,96,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-large,"Three separate proof jobs you funded+settled (≥$0.25 each, distinct sellers). Deliver 3 proof jobIds + timeline.",Per brief; highest quality bar.
BC-L-006,large,STAGE_MAIN,D1,Mainstage,Mainstage — official thread takeover,10.0,6,60.0,24,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-large,"Live-tweet Mainstage talk: ≥8 tweets, timestamps, 2 photos, quote tweets. Thread link.",Per brief; highest quality bar.
BC-L-007,large,STAGE_AI_LAB,D1+D2,AI Lab,AI Lab — ship micro-tool with MCP,25.0,3,75.0,48,96,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-large,Ship tiny open-source or gist tool using t2000 MCP; repo link + 2min demo video + README.,Per brief; highest quality bar.
BC-L-008,large,BOOTH_T2000,D1+D2,t2000 booth,Booth duty — 2h t2000 evangelist,12.0,8,96.0,48,48,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-large,Staff booth 2h (pre-coordinated slot); deliver sign-in photo hourly + count of Connect setups helped (honor system + 3 testimonials).,Per brief; highest quality bar.
BC-L-009,large,CONTENT,D1+D2,Quiet zone,Podcast — 15min interview clip,15.0,4,60.0,48,96,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-large,Record 15min interview with another attendee about agent economies; publish clip; link.,Per brief; highest quality bar.
BC-L-010,large,UGC,D1+D2,Full floor,Photo essay — 12 images,8.0,6,48.0,48,72,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-large,12-photo essay with captions covering floorplan highlights; publish X thread or blog.,Per brief; highest quality bar.
BC-M-026,micro,PULSE,D1,Summit Mainstage,D1 AM pulse — board before noon,0.15,30,4.5,12,12,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,Before 12:00 SGT Day 1: board pulse + 3 openings.,Timestamp before noon SGT.
BC-M-027,micro,PULSE,D2,AI Builders Lab,D2 PM pulse — board after 14:00,0.15,30,4.5,12,12,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,After 14:00 SGT Day 2: board pulse + 3 openings.,Timestamp after 14:00 SGT.
BC-M-028,micro,HYPE,D1,Mainstage queue,Hype — Mainstage queue photo,0.2,40,8.0,24,12,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,Photo in Mainstage queue or entrance line; one line why you're here.,Photo + caption.
BC-M-029,micro,HYPE,D2,AI Lab,Hype — AI Lab full room,0.2,40,8.0,24,12,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,Photo showing AI Lab attendance; no fake crowd.,Photo + session name if visible.
BC-M-030,micro,X_SOCIAL,D1+D2,Any,X — bookmark + repost t2000 clip,0.1,100,10.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-social,Repost official t2000 Basecamp clip with one sentence takeaway.,Permalink.
BC-M-B001,micro,BOOTH_CRAWL,D1+D2,Expo booth #1,Basecamp booth visit #1 — photo + one-line pitch,0.15,25,3.75,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-booth,Visit sponsor/ecosystem booth #1 on floorplan row; photo with booth branding; one sentence what they do. Agent ID.,Photo + booth name + Agent ID. UNIQUE per booth number.
BC-M-B002,micro,BOOTH_CRAWL,D1+D2,Expo booth #2,Basecamp booth visit #2 — photo + one-line pitch,0.15,25,3.75,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-booth,Visit sponsor/ecosystem booth #2 on floorplan row; photo with booth branding; one sentence what they do. Agent ID.,Photo + booth name + Agent ID. UNIQUE per booth number.
BC-M-B003,micro,BOOTH_CRAWL,D1+D2,Expo booth #3,Basecamp booth visit #3 — photo + one-line pitch,0.15,25,3.75,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-booth,Visit sponsor/ecosystem booth #3 on floorplan row; photo with booth branding; one sentence what they do. Agent ID.,Photo + booth name + Agent ID. UNIQUE per booth number.
BC-M-B004,micro,BOOTH_CRAWL,D1+D2,Expo booth #4,Basecamp booth visit #4 — photo + one-line pitch,0.15,25,3.75,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-booth,Visit sponsor/ecosystem booth #4 on floorplan row; photo with booth branding; one sentence what they do. Agent ID.,Photo + booth name + Agent ID. UNIQUE per booth number.
